Idate,Fdate,issuer,Business,SIC,hightec,state,nation,ticker,exchange,industry,bookrunner,managers,grosspread,managementfee,underfee,concession,reallowance,grossspreadP,managementfeeP,underfeeP,concessionP,reallowanceP,grossspreadmkt,principal,principalmkt,proceeds,proceedsmkt,p0,type,description,currency,marketplace,Pexchange,Ph,PL,Pm,sharesF,shareFmkt,amt,Tdamt,IPOflag,shares,Pshares,Sshares,sharesmkt,P_1,P1,spinoff,ownershipB,OwnershipA,Lexchange,ISIN,maintranche,foreignflag,ApsharesFSM,ApsharesF,PsharesFSM,PsharesFM,PsharesOSM,PsharesOM,country,IPO_number,Main_market,year,pshare1,sic1,S1,s2
1992/10/15,1992/10/15,Sun Yad Plastic Co Ltd,Mnfr plastic products,3089,Primary Business not Hi-Tech,Foreign,Taiwan,1316,Taiwan,Manufacturing,SAMPO-SEC,Sampo Securities,na,,,,,na,,,,,,11,11,11,11,59,Ord/Common Shs.,"4,500,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,4500000,"4,500,000",,4500000,,,,,,TAIWN,,Y,No,,,,,"4,500,000","4,500,000",Taiwan,,,1992,4500000,3089,3,30
1992/11/2,1992/11/2,Chia I Industrial Co Ltd,Mnfr wire prod,3315,Primary Business not Hi-Tech,Foreign,Taiwan,2017,Taiwan,Manufacturing,CORE-PAC-SEC,Core Pacific Securities Co Ltd,na,,,,,na,,,,,,5,5,5,5,35,Ord/Common Shs.,"3,500,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,3500000,"3,500,000",,3500000,,,,,,TAIWN,TW0008943945,Y,No,,,,,"3,500,000","3,500,000",Taiwan,,,1992,3500000,3315,3,33
1992/11/23,1992/11/23,Phoenixtec Power Co Ltd,"Mnfr,whl power sys",3612,Primary Business not Hi-Tech,Foreign,Taiwan,2411,Taiwan,Manufacturing,TAIWAN-SEC,Taiwan Securities,0.012,Comb.,Comb.,,,0.5,Comb.,Comb.,,,0.062,12,12,12,12,63,Ord/Common Shs.,"5,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,5000000,"5,000,000",,5000000,,,,,,TAIWN,TW0001511004,Y,No,,,,,"5,000,000","5,000,000",Taiwan,,,1992,5000000,3612,3,36
1992/12/16,1992/12/16,Sun Home Leather Corp,Mnfr leather goods,3199,Primary Business not Hi-Tech,Foreign,Taiwan,SUNHOM,Taiwan,Manufacturing,TAIWAN-SEC,Taiwan Securities,0.008,Comb.,Comb.,,,0.4,Comb.,Comb.,,,0.04,10,10,10,10,51,Ord/Common Shs.,"5,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,5000000,"5,000,000",,5000000,,,,,,TAIWN,TW0008937988,Y,No,,,,,"5,000,000","5,000,000",Taiwan,,,1992,5000000,3199,3,31
1992/12/21,1992/12/21,Nien Hsing Textile Co Ltd,Mnfr finished textiles,2269,Primary Business not Hi-Tech,Foreign,Taiwan,NIENHT,Taiwan,Manufacturing,JHSSHK,Jih Sun Securities (Hong Kong),na,,,,,na,,,,,,10,10,10,10,41,Ord/Common Shs.,"5,877,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,5877000,"5,877,000",,5877000,0.734,,,,,TAIWN,TW0008938556,Y,No,,,,,"5,877,000","5,877,000",Taiwan,,,1992,5877000,2269,2,22
1992/12/28,1992/12/28,Asia Chemical Corp,Mnfr prepared chem,2819,Primary Business not Hi-Tech,Foreign,Taiwan,ASIACC,Taiwan,Manufacturing,CHSECT,China Securities (Taiwan),na,,,,,na,,,,,,16,16,16,16,46,Ord/Common Shs.,"8,631,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,8631000,"8,631,000",,8631000,,,,,,TAIWN,,Y,No,,,,,"8,631,000","8,631,000",Taiwan,,,1992,8631000,2819,2,28
1992/12/28,1992/12/28,Hong Yi Fiber Ind Co Ltd,Mnfr textiles,2299,Primary Business not Hi-Tech,Foreign,Taiwan,1452,Taiwan,Manufacturing,TAIWAN-SEC,Taiwan Securities,0.008,Comb.,Comb.,,,0.5,Comb.,Comb.,,,0.036,7,7,7,7,38,Ord/Common Shs.,"4,740,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,4740000,"4,740,000",,4740000,,,,,,TAIWN,TW0008938564,Y,No,,,,,"4,740,000","4,740,000",Taiwan,,,1992,4740000,2299,2,22
1993/4/19,1993/4/19,Ta Jiang Group Co Ltd,Produce spinning yarn,2281,Primary Business not Hi-Tech,Foreign,Taiwan,1453,Taiwan,Manufacturing,ASIA-SEC-TW,Asia Securities,na,,,,,na,,,,,,5,5,6,5,35,Ord/Common Shs.,"4,011,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,4011000,"4,011,000",,4011000,,,,,,TAIWN,TW0001453009,Y,No,,,,,"4,011,000","4,011,000",Taiwan,,,1993,4011000,2281,2,22
1993/4/27,1993/4/27,Mayer Steel Pipe Corp,"Mnfr,whl steel pipe",3317,Primary Business not Hi-Tech,Foreign,Taiwan,2020,Taiwan,Manufacturing,CORE-PAC-SEC,Core Pacific Securities Co Ltd,na,,,,,na,,,,,,9,9,9,9,37,Ord/Common Shs.,"6,357,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,6357000,"6,357,000",,6357000,,,,,,TAIWN,TW0008943911,Y,No,,,,,"6,357,000","6,357,000",Taiwan,,,1993,6357000,3317,3,33
1993/5/7,1993/5/7,Taiwan Taiffeta Fabric,Mnfr broadwoven fabrics,2231,Primary Business not Hi-Tech,Foreign,Taiwan,TTFAB,Taiwan,Manufacturing,CHIAO-BK,Chiao Tung Bank,0.006,Comb.,Comb.,,,0.5,Comb.,Comb.,,,0.021,4,4,4,4,32,Ord/Common Shs.,"3,360,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,3360000,"3,360,000",,3360000,,,,,,TAIWN,TW0008939026,Y,No,,,,,"3,360,000","3,360,000",Taiwan,,,1993,3360000,2231,2,22
