Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE,BOURSE NAME
NAN NAN RESOURCES ENTER.,K:ARTF,1995/4/13,1995,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Household Goods and Home Construction,Nan Nan Resources Enterprise,Active,141070,HK1229,BMG6390D1092,Hong Kong
NATIONAL ARTS ENTM.& CUL.GP.,K:VTEX,2002/10/17,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,National Arts Entertainment and Culture Group,Active,26372K,HK8228,BMG6384U1172,Hong Kong
NATIONAL UTD.RES.HDG.,K:LIFA,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,National United Resources Holdings,Active,771551,HK254,HK0000171519,Hong Kong
NEW CITY DEVELOPMENT GP.,K:RHIN,1993/7/14,1993,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,New City Development Group,Active,317603,HK456,KYG648311036,Hong Kong
NEW FOCUS AUTO TECH HDG.,K:NFOC,2005/2/28,2005,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Automobiles and Parts,New Focus Auto Technology Holdings,Active,30342X,HK360,KYG645451090,Hong Kong
NEW RAY MDCIN.INTL.HLDG.,K:NRMI,2013/10/25,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food and Drug Retailers,New Ray Medicine International Holding,Active,92145N,HK6108,BMG647461117,Hong Kong
NEW UNIVERSE ENV.GP.,K:SMDI,2000/5/18,2000,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,New Universe Environmental Group,Active,280026,HK436,KYG6493Q1718,Hong Kong
NEW WISDOM HOLDING CO.,K:ARMT,2003/3/18,2003,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Software and Computer Services,New Wisdom Holding Company,Active,26882V,HK8213,KYG6529G1064,Hong Kong
NEW WLD.DEPT.STORE CHINA,K:NWDS,2007/7/12,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,New World Department Store China,Active,50704D,HK825,KYG650071098,Hong Kong
NICKEL RES.INTL.HDG.,K:CSST,2005/5/19,2005,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Metals and Mining,Nickel Resources International Holdings,Active,30942V,HK2889,KYG6516W1069,Hong Kong
NOBLE CENTURY INVESTMENT HDG.,K:SAMW,2003/4/9,2003,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,Noble Century Investment Holdings,Active,26953M,HK2322,BMG6608P1591,Hong Kong
NORTH ASIA STGC.HDG.,K:ISTE,2000/4/20,2000,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),North Asia Strategic Holdings,Active,280025,HK8080,BMG664301105,Hong Kong
NORTHERN NEW ENERGY HDG.,K:NHCH,2011/12/30,2011,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Northern New Energy Holdings,Active,86575V,HK8246,KYG6636K1159,Hong Kong
OI WAH PAWNSHOP CR.HDG.,K:OWPC,2013/3/12,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Ore Mining Wah Pawnshop Credit Holdings,Active,88167W,HK1319,KYG6730A1040,Hong Kong
ON TIME LOGISTICS HDG.,K:ONTI,2014/7/11,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Transportation,On Time Logistics Holdings,Active,8933NE,HK6123,KYG675461043,Hong Kong
ORE.SKY GOLDH.ENTM.HDG.,K:GHAR,1994/11/23,1994,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,Orange Sky Golden Harvest Entertainment Holdings,Active,140679,HK1132,BMG6770K1291,Hong Kong
ORIENT SECS.INTL.HDG.,K:OSID,2014/1/15,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Orient Securities International Holdings,Active,8700W5,HK8001,KYG6805Q1091,Hong Kong
ORIENT VICTORY TRAVEL GC,K:SCHI,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Industrials,Orient Victory Travel GC,Active,771558,HK265,KYG6777V1106,Hong Kong
OVERSEAS CHS.TWN.AI.HDG.,K:HALI,2005/11/2,2005,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Industrials,Overseas Chinese Town Asia Holdings,Active,32167U,HK3366,KYG684581013,Hong Kong
OZNER WATER INTL.HOLDING,K:OZNE,2014/6/17,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Engineering,Ozner Water International Holding,Active,8908VF,HK2014,KYG6868L1041,Hong Kong
PACIFIC ANDES INTL.HDG.,K:PACI,1994/10/3,1994,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,Pacific Andes International Holdings,Active,140473,HK1174,BMG6842Q1042,Hong Kong
PACIFIC CEN.PRUM.DEVS.,K:CPBM,1993/9/20,1993,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Pacific Century Premium Developments,Active,317742,HK432,BMG6844T1229,Hong Kong
PAK FAH YEOW INTL.,K:PFYI,1991/12/18,1991,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,PAK FAH Yeow International,Active,315155,HK239,BMG6873Y1176,Hong Kong
PAN ASIA ENV.PROTC.GROUP,K:PANA,2007/12/21,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Engineering,Pan Asia Environmental Protection Group,Active,51396Q,HK556,KYG6883P1063,Hong Kong
PEKING UVTY.RES. (HDG. ),K:MITH,1991/10/7,1991,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Technology Hardware and Equipment,Peking University Resources (Holdings),Active,314061,HK618,BMG6982M1038,Hong Kong
PERFECT SHAPE (PRC) HDG.,K:PSHL,2012/2/10,2012,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Perfect Shape (PRC) Holdings,Active,86549P,HK1830,KYG7013H1056,Hong Kong
PETRO-KING OILF.SVS.,K:PETK,2013/3/6,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Oil and Gas Producers,Petro-King Oilfield Services,Active,88135R,HK2178,VGG7042T1049,Hong Kong
PICO FAR EAST HOLDINGS,K:PICO,1992/9/28,1992,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,Pico Far East Holdings,Active,316148,HK752,KYG7082H1276,Hong Kong
PING AN SECS.GP.(HDG.),K:FARY,1983/1/26,1983,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Ping An Securities Group (Holdings),Active,938655,HK231,BMG7115B1054,Hong Kong
PING SHAN TEA GROUP,K:HEPT,2002/8/30,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Ping Shan Tea Group,Active,26155N,HK364,KYG117671035,Hong Kong
POLYARD PTL.INTL.GROUP,K:KSTR,2002/7/12,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Oil and Gas Producers,Polyard Petroleum International Group,Active,25886U,HK8011,KYG7159B1775,Hong Kong
QUANZHOU HUIXIN MICRO-CREDIT 'H',K:QHMC,2016/9/30,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Quanzhou Huixin Micro-Credit 'H',Active,2598FX,HK1577,CNE1000029X1,Hong Kong
RICHLY FIELD CHINA DEV.,K:DICO,1993/1/5,1993,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Richly Field China Development,Active,316541,HK313,BMG7568A1099,Hong Kong
ROYAL CATER.GP.HDG.,K:RYCA,2016/8/8,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Royal Catering Group Holdings,Active,7752XD,HK8300,KYG770951005,Hong Kong
RUI KANG PHARM.GP.INVS.,K:LGLF,2004/6/17,2004,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,RUI Kang Pharmaceutical Group Investments,Active,29051L,HK8037,BMG7713H1575,Hong Kong
S&P INTL. HDG.,K:SNPH,2017/7/11,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Food Producers,Standard and Poor's International Holdings,Active,9111ND,HK1695,KYG773601086,Hong Kong
S. CULTURE INTL.HDG.,K:SCIH,2013/7/11,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,S Culture International Holdings,Active,89375U,HK1255,KYG7998M1033,Hong Kong
SAM WOO CONSTRUCTION GP.,K:SAWO,2014/10/16,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Sam Woo Construction Group,Active,91252U,HK3822,KYG7785L1023,Hong Kong
SANAI HEALTH INDUSTRY GROUP,K:NUYI,2007/2/1,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Pharmaceuticals and Biotechnology,Sanai Health Industry Group,Active,41658T,HK1889,KYG980891082,Hong Kong
SANY HEAVY EQU.INTL.,K:SANY,2009/11/25,2009,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Engineering,Sany Heavy Equipment International,Active,68363V,HK631,KYG781631059,Hong Kong
SAU SAN TONG HOLDINGS,K:SSAN,2003/11/19,2003,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Sau San Tong Holdings,Active,28032D,HK8200,KYG781651420,Hong Kong
SEAMLESS GRN.CHIN.(HDG.),K:FSTH,2001/8/10,2001,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Seamless Green China (Holdings),Active,14417E,HK8150,BMG7947R1126,Hong Kong
SHEEN TAI HOLDINGS GP.,K:STHL,2012/7/13,2012,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Industrials,Sheen Tai Holdings Group,Active,87305E,HK1335,KYG8079L1133,Hong Kong
SHENGLI OIL & GAS PIPE HDG.,K:ONGP,2009/12/18,2009,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Shengli Oil and Gas Pipe Holdings,Active,68506W,HK1080,KYG811661035,Hong Kong
SHENTONG ROBOT ED.GP.GP.,K:HK6,2002/11/15,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Leisure Goods,Shentong Robot Education Group Group,Active,26501X,HK8206,KYG8117F1028,Hong Kong
SHIRBLE DPSTE.HDG.CHIN.,K:SDSH,2010/11/17,2010,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,Shirble Department Store Holdings China,Active,69687L,HK312,KYG810871015,Hong Kong
SHOUGANG CCRD.CEN.HDG.,K:EAST,1992/4/9,1992,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Metals and Mining,Shougang Concord Century Holdings,Active,315618,HK103,HK0103000607,Hong Kong
SHOUGANG CCRD.GRD.GP.,K:KINV,1991/8/8,1991,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,Shougang Concord Grand Group,Active,314176,HK730,BMG8114P1032,Hong Kong
SHOUGANG CCRD.INTL.ENTS.,K:SHOU,1991/4/30,1991,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Metals and Mining,Shougang Concord International Enterprises,Active,314000,HK697,HK0697002241,Hong Kong
SHUN HO PR.INVS.,K:SHUN,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Shun Ho Property Investments,Active,938603,HK219,HK0219009344,Hong Kong
SHUN WO GROUP HDG.,K:SHNW,2016/9/28,2016,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Shun Wo Group Holdings,Active,2578ZD,HK1591,KYG811921090,Hong Kong
SHUNFENG INTL.CLEAN EN.,K:SPIL,2011/7/13,2011,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Alternative Energy,Shunfeng International Clean Energy,Active,773765,HK1165,KYG8116S1057,Hong Kong
SILK ROAD ENERGY SVS.GP.,K:PLSM,2004/6/18,2004,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Pharmaceuticals and Biotechnology,Silk Road Energy Services Group,Active,29067C,HK8250,KYG8133P1000,Hong Kong
SILVER BASE GROUP HDG.,K:SILB,2009/4/8,2009,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Beverages,Silver Base Group Holdings,Active,67264Q,HK886,KYG816941044,Hong Kong
SILVER GRANT INTL.INDS.,K:SILG,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Silver Grant International Industries,Active,938635,HK171,HK0171000877,Hong Kong
SING LEE SOFTWARE GROUP,K:SLS,2001/9/5,2001,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Software and Computer Services,Sing Lee Software Group,Active,14490Q,HK8076,BMG819641017,Hong Kong
SINO EN.INTL.HDG.GP.,K:AGHL,2011/9/28,2011,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Sino Energy International Holdings Group,Active,77667R,HK1096,KYG817001095,Hong Kong
SINO HARBOUR HDG.GP.,K:SHPG,2011/7/22,2011,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Sino Harbour Holdings Group,Active,77418Q,HK1663,BMG8188W1091,Hong Kong
SINO OIL & GAS HDG.,K:PNF,2000/2/9,2000,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Oil and Gas Producers,Sino Oil and Gas Holdings,Active,280012,HK702,BMG8184U1071,Hong Kong
SINO PSPR.(GROUP) HDG.,K:SPRO,2002/5/15,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Mining,Sino Prosper (Group) Holdings,Active,25508T,HK766,KYG8190S1122,Hong Kong
SMARTAC GROUP CHINA HDG.,K:AZIR,2002/10/28,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Chemicals,Smartac Group China Holdings,Active,26420M,HK395,KYG8207P1019,Hong Kong
SMI CULTURE &.TRAVEL GP.,K:QJYM,2004/6/30,2004,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,SMI Culture and Travel Group,Active,29116F,HK2366,BMG8229K1146,Hong Kong
SOUTH CHINA ASSETS HDG.,K:CPUB,2002/7/18,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,South China Assets Holdings,Active,26021Q,HK8155,KYG8290J1031,Hong Kong
SOUTH CHINA FINL.HDG.,K:SCHB,1993/7/16,1993,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),South China Financial Holdings,Active,317589,HK619,HK0619009126,Hong Kong
SOUTH SEA PETROLEUM HDG.,K:SEAU,1984/9/24,1984,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Oil and Gas Producers,South Sea Petroleum Holdings,Active,932467,HK76,HK0000219144,Hong Kong
SOUTHEAST ASIA PROPS.& FIN.,K:SEAP,1982/6/10,1982,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Industrials,Southeast Asia Properties and Finance,Active,937164,HK252,HK0252001307,Hong Kong
SOUTHWEST SECS.INTL. SECS.,K:TANR,2002/1/30,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Southwest Securities International Securities,Active,15144J,HK812,BMG8301A1099,Hong Kong
SPRING REIT.TRUST,K:SREI,2013/12/5,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment Trusts,Spring Real Estate Investment Trust,Active,93631L,HK1426,HK0000174232,Hong Kong
STARLIGHT CULTURE ENTERTAINMENT GROUP,K:KARC,1998/3/13,1998,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Leisure Goods,Starlight Culture Entertainment Group,Active,865731,HK1159,BMG5137Y1030,Hong Kong
STATE EN. GP. INTL. ASS.,K:TAK,1997/10/15,1997,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,State Energy Group International Assets,Active,865759,HK918,BMG8508Q1050,Hong Kong
SUCCESS DRAGON INTL.HDG.,K:IDEA,1994/10/17,1994,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Industrials,Success Dragon International Holdings,Active,140538,HK1182,BMG8551N1083,Hong Kong
SUN ART RETAIL GROUP,K:SARG,2011/7/27,2011,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,Sun Art Retail Group,Active,77380U,HK6808,HK0000083920,Hong Kong
SUN HING VISION GP.HDG.,K:SHVG,1999/5/25,1999,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Sun Hing Vision Group Holdings,Active,691902,HK125,BMG8572F1005,Hong Kong
SUN.KING POWER ELTN.GP.,K:SKP,2010/10/13,2010,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Sunshine King Power Electronics Group,Active,70298D,HK580,KYG857AW1047,Hong Kong
SUNWAH KINGSWAY CAP.HDG.,K:SWKC,2000/9/15,2000,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Financial Services (Sector),Sunwah Kingsway Capital Holdings,Active,297030,HK188,BMG8587P1014,Hong Kong
TA YANG GROUP HOLDINGS,K:TAYA,2007/6/8,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Technology Hardware and Equipment,Ta Yang Group Holdings,Active,50607F,HK1991,KYG869171044,Hong Kong
TAI PING CARPETS INTL.,K:TPIN,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Household Goods and Home Construction,Tai Ping Carpets International,Active,930615,HK146,BMG8659F1068,Hong Kong
TAI SANG LAND DEV.,K:TSLD,1988/6/1,1988,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Real Estate Investment and Services,Tai Sang Land Development,Active,951700,HK89,HK0089000548,Hong Kong
TANG PALACE (CHINA) HDG.,K:TPHL,2011/4/19,2011,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Tang Palace (China) Holdings,Active,75716P,HK1181,KYG867001045,Hong Kong
TANSH GLOBAL FOOD GP.,K:XIAO,2012/7/4,2012,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Tansh Global Food Group,Active,77654L,HK3666,KYG8673P1063,Hong Kong
TC ORIENT LIGHTING HDG.,K:TCIN,2006/6/23,2006,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,TC Orient Lighting Holdings,Active,36118P,HK515,KYG8706E1026,Hong Kong
TECH PRO TECHNOLOGY DEV.,K:TCPR,2007/9/6,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Technology Pro Technology Development,Active,50993W,HK3823,KYG8729J1123,Hong Kong
TELECOM SERVICE ONE HDG.,K:TSOH,2013/5/30,2013,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Software and Computer Services,Telecom Service One Holdings,Active,88709R,HK8145,KYG873111093,Hong Kong
