issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Good Friend Intl Hldgs Inc,2006/1/5,2005/12/30,KYG398001001,2398,3541,Good Friend Intl Hldgs Inc,0,goodfriend,0,Good Friend International Holdings,Good Friend International Holdings,GOOD FRIEND INTL.HDG.,K:GTIN,2006/1/11,32631E,HK2398,KYG398001001
Modern Beauty Salon Holdings,2006/2/8,2006/1/7,KYG618101003,919,7231,Modern Beauty Salon Holdings,0,modernbeautysal,0,Modern Beauty Salon Holdings,Modern Beauty Salon Holdings,MODERN BEAUTY SALON HDG.,K:MOBS,2006/2/9,32748W,HK919,KYG618101003
Yorkey Optical International,2006/2/9,2006/1/19,KYG984571078,2788,3999,Yorkey Optical International,0,yorkeyoptical,0,Yorkey Optical International (Cayman),Yorkey Optical International (Cayman),YORKEY OPTC.INTL.(CYMN.),K:YOOP,2006/2/10,32743H,HK2788,KYG984571078
Nine Dragons Paper(Hldg)Ltd,2006/2/24,2006/2/13,BMG653181005,2689,2621,Nine Dragons Paper(Hldg)Ltd,0,ninedragonspape,0,Nine Dragons Paper Holdings,Nine Dragons Paper Holdings,NINE DRAGONS PAPER HDG.,K:NDRA,2006/3/3,32836U,HK2689,BMG653181005
Co-Prosperity Holdings Ltd,2006/3/24,2006/3/11,KYG2421Y1052,707,2299,Co-Prosperity Holdings Ltd,0,prosperity,0,Prosperity International Holdings Hong Kong,Prosperity International Holdings Hong Kong,PROSPERITY INTL.HDG.HK,K:PRSP,2001/8/2,14400D,HK803,BMG7274T1457
Air China Ltd,2006/8/8,2006/7/31,CN000A0DNWD6,753,4512,Air China Ltd,0,air,0,Hong Kong Aircraft Engineering,Hong Kong Aircraft Engineering,HONG KONG AIRCRAFT ENGR.,K:HKAC,1973/1/1,929711,HK44,HK0044000302
Win Hanverky Holdings Ltd,2006/8/31,2006/5/13,KYG9716W1087,3322,2299,Win Hanverky Holdings Ltd,0,winhanverky,0,Win Hanverky Holdings,Win Hanverky Holdings,WIN HANVERKY HOLDINGS,K:WINH,2006/9/6,41149L,HK3322,KYG9716W1087
Jutal Offshore Oil Svcs Ltd,2006/9/19,2006/9/11,KYG520771075,3303,3533,Jutal Offshore Oil Svcs Ltd,0,jutaloffshoreoi,0,Jutal Offshore Oil Services,Jutal Offshore Oil Services,JUTAL OFFSHORE OIL SVS.,K:JUTA,2006/9/21,41192V,HK3303,KYG520771075
Lee Kee Holdings Ltd,2006/9/28,2006/9/18,KYG542761039,637,3365,Lee Kee Holdings Ltd,0,leekee,0,Lee Kee Holdings,Lee Kee Holdings,LEE KEE HOLDINGS,K:LEEK,2006/10/4,41218Q,HK637,KYG542761039
Computime Group Ltd,2006/9/29,2006/9/19,KYG2341T1031,320,3679,Computime Group Ltd,0,computime,0,Computime Group,Computime Group,COMPUTIME GROUP,K:COMG,2006/10/9,41225M,HK320,KYG2341T1031
