issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Nority International Group Ltd,1993/1/18,1993/1/18,,660,3149,Nority International Group Ltd,1,ority,5,Prosperity International Holdings Hong Kong,Prosperity International Holdings Hong Kong,PROSPERITY INTL.HDG.HK,K:PRSP,2001/8/2,14400D,HK803,BMG7274T1457
Chun Wo Holdings Ltd,1993/1/27,1993/1/27,,711,1522,Chun Wo Holdings Ltd,1,chunos,9,Chuangs Consortium International,Chuangs Consortium International,CHUANGS CONSORT.INTL.,K:CHNC,1988/6/1,755692,HK367,BMG2122V1458
Tack Hsin Holdings Ltd,1993/1/28,1993/1/28,,611,5812,Tack Hsin Holdings Ltd,3,tchins,9,Techtronic Industries,Techtronic Industries,TECHTRONIC INDS.,K:TRON,1990/12/17,540775,HK669,HK0669013440
Kosonic International Hldgs,1993/2/12,1993/2/12,,KOIN,3651,Kosonic International Hldgs,2,ksonic,9,Kingston Financial Group,Kingston Financial Group,KINGSTON FINANCIAL GROUP,K:STIM,1996/7/23,865766,HK1031,BMG5266H1034
Starlite Holdings Ltd,1993/2/17,1993/2/17,,403,2752,Starlite Holdings Ltd,1,starlies,7,Austar Lifesciences,Austar Lifesciences,AUSTAR LIFESCIENCES,K:ASTR,2014/11/7,9166QQ,HK6118,KYG0632L1023
Linkful International Holdings,1993/3/15,1993/3/15,BMG5495D1056,430,3325,Linkful International Holdings,2,linkls,9,Link Real Estate Investment Trust,Link Real Estate Investment Trust,LINK RL.EST.INV.TST.,K:LREI,2005/11/25,298493,HK823,HK0823032773
KPI Co Ltd,1993/3/23,1993/3/23,XC0008949809,605,5999,KPI Co Ltd,0,kpi,12,Chu Kong Shipping Enterprises (Group),Chu Kong Shipping Enterprises (Group),CHU KONG SHIP.ENTS.(GP.),K:CKS,1997/5/23,890528,HK560,HK0560006634
New Island Printing Holdings,1993/3/30,1993/3/30,,377,2732,New Island Printing Holdings,5,newsladrnt,5,New Silkroad CRNT,New Silkroad CRNT,NEW SILKROAD CRNT.,K:RJPH,1988/1/29,771383,HK472,BMG6479N1011
Wanon Intl Hldg Ltd,1993/3/30,1993/3/30,BMG9430H1060,371,3661,Wanon Intl Hldg Ltd,0,wanon,10,Shenwan Hongyuan (Hong Kong),Shenwan Hongyuan (Hong Kong),SHENWAN HONGYUAN (HK),K:SHGI,1988/6/1,779593,HK218,HK0218001102
CIL Holdings Ltd,1993/7/6,1993/7/6,,479,5065,CIL Holdings Ltd,0,cils,11,China Logistics Property Holdings,China Logistics Property Holdings,CHINA LOGIST.PR.HDG.,K:CLPH,2016/7/15,7720FV,HK1589,KYG212091048
Vincent Intertrans (Holdings),1993/8/24,1993/8/24,,563,4449,Vincent Intertrans (Holdings),5,inenintera,5,Linekong Interactive,Linekong Interactive,LINEKONG INTERACTIVE,K:KONZ,2014/12/30,92272P,HK8267,KYG5504C1069
Moulin Intl Hldgs Ltd,1993/9/15,1993/9/15,,389,3827,Moulin Intl Hldgs Ltd,1,molins,7,Modern Living Investments Holdings,Modern Living Investments Holdings,MODERN LIVING INVESTMENTS HOLDINGS,K:MODE,2017/11/10,9211Q2,HK8426,KYG618231032
