issuer,Idate,Fdate,ISIN,ticker,SIC
Lee Chi Enterprises Co Ltd,1995/11/14,1995/11/14,TW0009003160,1517,3751
Aceton Technology,1995/11/15,1995/11/15,,ACETON,7371
Lite-On Technology Corp,1995/11/17,1995/11/17,TW0009004093,2301,3575
Apex Science & Engineering,1995/11/25,1995/11/25,TW0009003178,APEX2,8711
Standard Chem&Pharm Co Ltd,1995/12/12,1995/12/12,TW0009004820,1720,2834
Synnex Tech Intl Corp,1995/12/13,1995/12/13,,2347,5045
Yee Chen Construction,1995/12/30,1995/12/30,,YEECC,1541
Chinese Automobile,1996/1/6,1996/1/6,TW0008712001,CAUTO,3714
King-Wei Fiber,1996/1/16,1996/1/16,TW0008706003,KWEI,2824
Chien Shing Stainless Steel Co,1996/2/8,1996/2/8,TW0009004853,2025,3312
TTET Union Corp,1996/2/9,1996/2/9,TW0009002832,1232,2079
Dahin,1996/3/4,1996/3/4,TW0001320000,DAHIN,2899
DA-CIN Construction Co Ltd,1996/3/11,1996/3/11,TW0009059592,2535,1522
S&T Copper Industries Co Ltd,1996/3/11,1996/3/11,TW0002026002,STCOP,3366
Hung Poo RE Co Ltd,1996/3/14,1996/3/14,,2536,1522
Ritek Corp,1996/4/23,1996/4/23,TW0009051789,2349,3572
Universal Scientific Indl Co,1996/4/23,1996/4/23,TW0002350006,2350,3577
SDI Corp,1996/4/25,1996/4/25,,2351,3674
China Glaze Co Ltd,1996/4/30,1996/4/30,TW0009052597,1809,2816
Sunko Ink Co Ltd,1996/4/30,1996/4/30,,1721,2821
Wan Hai Lines Ltd,1996/5/15,1996/5/15,TW0009020800,2615,4412
Sanayang Industry,1996/7/1,1996/7/1,,SANAY,3711
Core Pacific Construction Corp,1996/9/1,1996/9/1,,,1522
Lite-On Technology Corp,1996/9/16,1996/9/16,TW0002346004,2301,3575
Shamrock Technology Co Ltd,1996/10/8,1996/10/8,,2354,3571
Chin-Poon Industrial Co Ltd,1996/10/14,1996/10/14,TW0002355005,2355,3672
Ta Chen Stainless Pipe Co Ltd,1996/10/24,1996/10/24,,2027,3317
Asustek Computer Inc,1996/11/14,1996/11/14,,2357,3577
Chyang Sheng Dyeing,1996/12/5,1996/12/5,TW0009059568,,2269
Wei Chih Steel Industrial,1996/12/13,1996/12/13,TW0009076968,2028,3312
Solomon Technology Corp,1996/12/19,1996/12/19,,2359,3674
Hotai Motor Co Ltd,1996/12/24,1996/12/24,,2207,5012
Tonlin Department Store Co Ltd,1996/12/30,1996/12/30,,2910,5311
Les Enphants Co Ltd,1997/5/2,1997/5/2,,2911,2361
Chia Ta World Co Ltd,1997/5/23,1997/5/23,TW0005005003,2033,3325
Silicon Integrated Sys Corp,1997/6/16,1997/6/16,,2363,3674
Clevo Co,1997/6/28,1997/6/28,TW0002362001,2362,3571
De Licacy Industrial Co Ltd,1997/7/2,1997/7/2,,1464,2299
Wisher Industries Co,1997/7/22,1997/7/22,,WISHER,2399
Fu Sheng Industrial Co Ltd,1997/8/16,1997/8/16,,1520,3949
Ta Yih Industrial Co Ltd,1997/8/19,1997/8/19,,1521,3714
Sheng Yu Steel Co Ltd,1997/8/23,1997/8/23,TW0002029006,2029,3312
Knowledge Yield Excellence,1997/9/13,1997/9/13,,TP,3629
Shan-Loong Transp Co Ltd,1997/9/17,1997/9/17,,2616,4119
Askey Computer Corp,1997/10/16,1997/10/16,,2366,3661
Sakura Development Co Ltd,1997/10/21,1997/10/21,TW0002539004,2539,1522
Unitech Printed Circuit Board,1997/10/21,1997/10/21,,2367,3672
Twinhead International Corp,1997/11/3,1997/11/3,TW0002364007,2364,3571
Unitech Computer,1997/12/13,1997/12/13,TW0005342000,,3571
Formosa Intl Hotels Corp,1998/2/16,1998/2/16,,2707,7011
Taiwan First Invest & Trust Co,1998/3/5,1998/3/5,,2835,3999
Acelon Chemicals & Fiber Corp,1998/3/8,1998/3/8,,1466,2824
Sumagh High Tech Corp,1998/4/6,1998/4/6,TW0004405006,1475,2299
Gold Circuit Electronics Ltd,1998/5/4,1998/5/4,TW0002368008,2368,3699
Lee-Tah Farm Industries Co,1998/5/8,1998/5/8,TW0001226009,LEETAH,5191
Taiyu Products Corp,1998/6/15,1998/6/15,TW0001223006,1223,2038
TYC Brothers Industrial Co Ltd,1998/6/29,1998/6/29,TW0001522001,1522,3647
Yeun Chyang Industrial Co Ltd,1998/7/28,1998/7/28,,2034,3312
ZyXEL Communications Corp,1998/8/4,1998/8/4,,2391,3663
Yanin Leather Company,1998/10/18,1998/10/18,TW0001322006,,2269
Avision Inc,1998/11/7,1998/11/7,,2380,3577
Unimicron Technology Corp,1998/11/13,1998/11/13,,3037,3672
Arima Computer Corp,1998/11/16,1998/11/16,,2381,3571
Awea Mechantronic Co Ltd,1998/12/2,1998/12/2,TW0004517008,1530,3559
Chicony Electronics Co Ltd,1998/12/2,1998/12/2,,2385,3674
Quanta Computer Inc,1998/12/12,1998/12/12,,2382,3571
Basso Industry Corp,1998/12/15,1998/12/15,TW0004519004,1527,3559
Tien Tai Electrode Co Ltd,1998/12/27,1998/12/27,TW0005010003,4717,3548
Ocean Plastic Co Ltd,1998/12/28,1998/12/28,,1321,2821
Biostar Microtech Intl Corp,1999/5/1,1999/5/1,TW0005369003,09089F,3577
Aurora Systems Corp,1999/5/10,1999/5/10,TW0005391007,2433,3674
Luxon Electronics Corp,1999/5/12,1999/5/12,TW0002389004,2389,5065
Honmyue Enterprise Co Ltd,1999/5/21,1999/5/21,TW0004412002,1474,2221
Choice Lithograph Inc,1999/5/27,1999/5/27,,9929,2731
China Television Co Ltd,1999/7/15,1999/7/15,,9928,4833
ALi Corp,1999/8/17,1999/8/17,,3041,3674
Horng Jiuh Construction Corp,1999/8/17,1999/8/17,TW0002542008,2542,1521
Chang Ho Fibre Corp,1999/8/26,1999/8/26,TW0001468007,1468,2221
Cheng Uei Precision Ind Co Ltd,1999/8/27,1999/8/27,,2392,3678
Aaeon Technology Inc,1999/8/30,1999/8/30,,2463,3571
Audix Corp,1999/9/6,1999/9/6,,2459,3674
AmTRAN Technology Co Ltd,1999/9/29,1999/9/29,,2489,3577
Catcher Technology Co Ltd,1999/10/3,1999/10/3,,2474,3363
K Laser Technology Inc,1999/11/15,1999/11/15,,2461,2671
Advantech Co Ltd,1999/11/16,1999/11/16,,2395,3571
VIA Technologies Inc,1999/11/16,1999/11/16,TW0002388006,2388,3672
Everlight Electronics Co Ltd,1999/12/12,1999/12/12,TW0002393006,2393,3674
Ichia Technologies Inc,1999/12/19,1999/12/19,,2402,3679
Holy Stone Enterprise Co Ltd,1999/12/21,1999/12/21,,3026,3675
Phihong Enterprises Co Ltd,2000/1/12,2000/1/12,,2457,3674
Yosun Industrial Corp,2000/2/27,2000/2/27,,2403,5065
Solytech Enterprise Corp,2000/3/23,2000/3/23,TW0001471001,1471,2299
Sweeten Construction Co Ltd,2000/4/22,2000/4/22,,5525,1522
Topco Scientific Co Ltd,2000/4/24,2000/4/24,,5434,3674
ABIT Computer Corp,2000/5/28,2000/5/28,,2407,3577
Nanya Technology Corp,2000/7/21,2000/7/21,,2408,3674
Acer Display Technology Inc,2000/8/14,2000/8/14,,2409,3674
Tong Tai Machine & Tool Co Ltd,2000/8/29,2000/8/29,,4526,3541
Wintech Microelectronics Co,2000/8/29,2000/8/29,,3036,3674
Sinphar Pharmaceutical Co Ltd,2000/9/18,2000/9/18,,1734,2834
Weikeng Industrial Co Ltd,2000/9/18,2000/9/18,,3033,3674
Asia Optical Co Inc,2000/10/1,2000/10/1,,3019,3827
Tung Kai Tech Engineering Co,2000/10/4,2000/10/4,,3018,1541
SONiX Technology Co Ltd,2000/11/1,2000/11/1,,5471,3674
Holiday Entertainment Co Ltd,2000/11/5,2000/11/5,,9943,7999
Global View Co Ltd,2000/11/29,2000/11/29,,3040,3577
Taiwan Paiho Ltd,2000/12/15,2000/12/15,,9938,3965
Loop Telecommunication Intl,2000/12/27,2000/12/27,,3025,3669
Everfocus Electronics Corp,2001/2/14,2001/2/14,,5484,3861
Pihsiang Machinery Mnfg Co Ltd,2001/2/20,2001/2/20,,1729,3559
Emerging Display Tech Corp,2001/3/5,2001/3/5,,3038,3679
Mobiletron Electronics Co Ltd,2001/3/7,2001/3/7,,1533,3694
Data Systems Consulting Co Ltd,2001/3/12,2001/3/12,,2447,7372
Destiny Technology Corp,2001/3/14,2001/3/14,,5494,7372
Eclat Textile Co Ltd,2001/3/17,2001/3/17,,1476,2257
Sinbon Electronics Co Ltd,2001/4/2,2001/4/2,,3023,3679
Transcend Information Inc,2001/4/2,2001/4/2,,2451,3672
SYSCOM Group,2001/4/22,2001/4/22,,2453,3577
Senao International Co Ltd,2001/4/24,2001/4/24,,2450,5065
Epistar Corp,2001/4/28,2001/4/28,,2448,3674
Cyntec Co Ltd,2001/5/2,2001/5/2,,2452,3674
Phoenix Precision Tech Corp,2001/5/12,2001/5/12,,2446,3674
Shih Wei Navigation Co Ltd,2001/6/1,2001/6/1,,5608,4412
MediaTek Inc,2001/6/21,2001/6/21,,2454,3674
Sysage Technology,2001/7/9,2001/7/9,,6112,7379
Hannstar Display Corp,2001/7/23,2001/7/23,,6116,3679
Chilisin Electronics Corp,2001/8/22,2001/8/22,,2456,3677
Teco Enterprise Co Ltd,2001/9/21,2001/9/21,,6119,5065
Far EasTone Telecommunications,2001/11/11,2001/11/11,,4904,4813
In Win Development Inc,2001/11/12,2001/11/12,TW0006117005,6117,3674
I-Sheng Electric Wire & Cable,2001/11/19,2001/11/19,TW0006115009,6115,3496
Xepex Electronics Co Ltd,2001/12/1,2001/12/1,,6132,5065
Yoko Technology Corp,2001/12/1,2001/12/1,,6131,3861
TurboComm Tech Inc,2001/12/5,2001/12/5,,2494,3357
Gemtek Technology Co Ltd,2001/12/13,2001/12/13,,4906,3661
Fullerton Technology Co Ltd,2001/12/17,2001/12/17,,6136,7372
Apex Medical Corp,2001/12/22,2001/12/22,,4106,3841
Cameo Communications Inc,2001/12/23,2001/12/23,,6142,3661
Power Quotient International,2001/12/23,2001/12/23,TW000R015009,6145,3674
Golden Bridge Electech Inc,2001/12/24,2001/12/24,,6133,3355
L & K Engineering Co Ltd,2001/12/24,2001/12/24,,6139,8711
Kung Long Batteries Industrial,2001/12/24,2001/12/24,,1537,3691
Ampoc Far-East Co Ltd,2001/12/25,2001/12/25,,2493,3674
Career Tec(MFG)Co Ltd,2002/1/7,2002/1/7,TWU00R076002,6153,3674
King Core Electronics Inc,2002/1/28,2002/1/28,TWU00R077000,6155,3674
Uni-Circuit Inc,2002/2/16,2002/2/16,TWU00R004004,6162,3674
Radiant Opto-Electronics Corp,2002/3/31,2002/3/31,TW0006176001,6176,3679
Dafeng TV Ltd,2002/4/29,2002/4/29,TWU00R902009,6184,4813
Poya Co Ltd,2002/8/10,2002/8/10,TWU00R910002,5904,5311
Jess Link Products Co Ltd,2002/11/12,2002/11/12,TWU00R143000,6197,3643
Flytech Technology Co,2002/11/13,2002/11/13,TWU00R153009,6206,3571
Chant Sincere Co,2002/11/22,2002/11/22,TWU00R081002,6205,8711
Highlight Tech Corp,2002/11/25,2002/11/25,TWU00R046005,6208,5722
Aurotek Corp,2002/11/26,2002/11/26,TW0006215007,6215,3568
MET Technology Co Ltd,2002/11/28,2002/11/28,TWU00R069007,6212,3651
Ya Horng Electronic Co,2002/11/29,2002/11/29,TWU00R159006,6201,3663
ITEQ Corp,2002/12/1,2002/12/1,TWU00R133001,6213,3674
AIPTEK International Inc,2002/12/15,2002/12/15,TWU00R140006,6225,7372
Draytek Corporation,2002/12/23,2002/12/23,TWU00R164006,6216,3674
Full Rise Electronic Co Ltd,2003/1/6,2003/1/6,TW0006211006,6211,3674
Genesis Technology Inc,2003/1/6,2003/1/6,,6221,7379
MJC Probe Inc,2003/1/6,2003/1/6,TW0006223001,6223,3674
Polytronics Technology Corp,2003/1/6,2003/1/6,TW0006224009,6224,3643
Systex Corp,2003/1/6,2003/1/6,TW0006214000,6214,7376
CCP Contact Probes Co Ltd,2003/1/9,2003/1/9,TW0006217003,6217,3544
Soaring Technology Co Ltd,2003/1/9,2003/1/9,TW0006222003,6222,3674
Chaun-Choung Technology Corp,2003/1/14,2003/1/14,TW0006230006,6230,3674
Galaxy Far East Corp,2003/1/14,2003/1/14,TW0006227002,6227,5065
Hauman Technologies Corp,2003/1/14,2003/1/14,TW0006218001,6218,3674
Para Light Electronics Co Ltd,2003/1/14,2003/1/14,TW0006226004,6226,3674
V-Tac Technology Co Ltd,2003/1/14,2003/1/14,TW0006229008,6229,3674
New Palace Co Ltd,2003/1/17,2003/1/17,TW0008940008,8940,3674
Pacific Image Electronics Co,2003/1/21,2003/1/21,TW0006228000,6228,3577
Insyde Software Corp,2003/1/23,2003/1/23,TW0006231004,6231,7376
Prolific Technology Inc,2003/2/20,2003/2/20,TW0006233000,6233,3577
Powertech Technology Inc,2003/3/4,2003/3/4,TWU00R198004,6239,3674
Tera Autotech Corp,2003/3/12,2003/3/12,TW0006234008,6234,3559
Global Sun Technology Inc,2003/3/26,2003/3/26,TW0004910005,4910,3669
Topro Technology Inc,2003/3/31,2003/3/31,TW0006236003,6236,3674
Trinity Metallize Co Ltd,2003/3/31,2003/3/31,TW0004534003,4534,3499
Catalyst Logic Co Ltd,2003/3/31,2003/3/31,TW0006238009,6238,7812
Amigo Technology Co Ltd,2003/4/8,2003/4/8,TW0006241003,6241,3571
Fine Blanking & Tool Co Ltd,2003/4/16,2003/4/16,TW0004535000,4535,3711
C-Media Electronics Inc,2003/4/21,2003/4/21,TW0006237001,6237,3577
Ene Technology Inc,2003/4/22,2003/4/22,TW0006243009,6243,3613
Motech Industries Inc,2003/5/15,2003/5/15,TWU00R197006,6244,3674
Xxentria Technology Materials,2003/5/16,2003/5/16,TW0008942004,8942,3316
Lanner Electronics Inc,2003/5/19,2003/5/19,TW0006245004,6245,3571
Kings Information Co Ltd,2003/5/30,2003/5/30,TW0006240005,6240,7376
Nan Ren Hu Leisure Amusement,2003/6/17,2003/6/17,TW0005905004,5905,7011
Taiwan Thick-Film Ind Corp,2003/6/18,2003/6/18,TW0006246002,6246,3679
Oncoprobe Biotech Inc,2003/7/22,2003/7/22,TW0004113006,4113,2836
Rossmax International Ltd,2003/7/25,2003/7/25,TW0004121009,4121,3841
Bull Will Co Ltd,2003/9/17,2003/9/17,TW0006259005,6259,5065
Planet Technology Corporation,2003/9/17,2003/9/17,TW0006263007,6263,3674
Professional Computer Tech Ltd,2003/9/17,2003/9/17,TW0006270002,6270,3674
Taiwan Takisawa Tech Co Ltd,2003/9/23,2003/9/23,TW0006609001,6609,3541
Advanced Microelectronic Prod,2003/10/2,2003/10/2,TW0006287006,6287,3674
YFC-Bon Eagle Electric Co Ltd,2003/10/2,2003/10/2,TW0006220007,6220,3663
Nichidenbo Corp,2003/10/10,2003/10/10,TW0003090007,3090,3674
Shun On Electronic Co Ltd,2003/10/20,2003/10/20,TWU00R236002,6283,3674
Hu Lane Associate Inc,2003/10/22,2003/10/22,TW0006279003,6279,3629
Tittot Co Ltd,2003/10/23,2003/10/23,TW0009949008,9949,3231
Kuen Chaang Uppertech Corp,2003/10/24,2003/10/24,TW0006265002,6265,5065
Mingjong Technologies Co Ltd,2003/10/30,2003/10/30,TW0006276009,6276,3679
Orient Europharma Co Ltd,2003/11/5,2003/11/5,TW0004120001,4120,2836
Feng Sheng Technology Co Ltd,2003/11/26,2003/11/26,TW0008071002,8071,3674
Super Dragon Technology Co Ltd,2003/11/28,2003/11/28,TW0009955005,9955,7372
Chien Wei Precise Tech Co Ltd,2003/12/12,2003/12/12,TW0008092008,8092,3674
Firich Enterprises Co Ltd,2003/12/15,2003/12/15,TW0008076001,8076,3578
Tekom Technologies Inc,2003/12/15,2003/12/15,TW0006294002,6294,8299
Aurona Industries Inc,2003/12/18,2003/12/18,TW0008074006,8074,3674
Analog Integrations Corp,2003/12/19,2003/12/19,TW0006291008,6291,3674
Pro-Nets Technology Ltd,2003/12/30,2003/12/30,TW0008082009,8082,3661
Supreme Electronics Co Ltd,2003/12/30,2003/12/30,TW0008112004,8112,5065
Eminent Luggage Corp,2004/1/26,2004/1/26,TW0009950006,9950,3161
Panram International Corp,2004/1/30,2004/1/30,TW0008088006,8088,3674
Gu Ta Internet Information Co,2004/2/1,2004/2/1,,3085,7375
Forward Electronics Co Ltd,2004/2/2,2004/2/2,TW0008085002,8085,3674
L&K Precision Technology Co,2004/2/2,2004/2/2,TW0008097007,8097,3699
Chip Hope Co Ltd,2004/2/7,2004/2/7,TW0008084005,8084,3674
Taiwan Surface Mounting Tech,2004/2/10,2004/2/10,TW0006278005,6278,3674
Ame Inc,2004/2/14,2004/2/14,TW0003188009,3188,3674
Service&Quality Tech Co Ltd,2004/2/20,2004/2/20,TW0003219002,3219,3674
CviLux Corporation,2004/2/23,2004/2/23,TW0008103003,8103,3674
Chander Electronics Corp,2004/2/23,2004/2/23,TW0008068008,8068,3678
Taiwan Chinsan Electn Ind Co,2004/2/23,2004/2/23,TW0008042003,8042,3674
Wayi Intl Digital Ent,2004/2/26,2004/2/26,TW0003086005,3086,7372
Tatung System Technologies Inc,2004/2/27,2004/2/27,TW0008099003,8099,7376
Prime View Intl Co Ltd,2004/3/1,2004/3/1,TW0008069006,8069,3679
Youngtek Electronics Corp,2004/3/1,2004/3/1,TW0006261001,6261,3674
Taiwan Hopax Chem Mfg Co Ltd,2004/3/11,2004/3/11,TW0006509003,6509,2899
Advanced Power Electronics,2004/3/15,2004/3/15,TW0008261009,8261,3679
Koan Hao Enterprise Co Ltd,2004/3/15,2004/3/15,TW0008354002,8354,2821
Argosy Research Inc,2004/4/2,2004/4/2,TW0003217006,3217,3572
Taiwan Ostor Corp,2004/4/12,2004/4/12,TW0008080003,8080,3674
Taiwan Wax Co Ltd,2004/4/16,2004/4/16,TW0001742005,1742,2899
MetaTech(AP)Inc,2004/5/5,2004/5/5,TW0003224002,3224,5065
Topower Computer Ind Co Ltd,2004/5/16,2004/5/16,TW0003226007,3226,3577
Inpaq Technology Co Ltd,2004/5/31,2004/5/31,TW0006284003,6284,3674
Arima Communications Corp,2004/6/1,2004/6/1,TW0008101007,8101,3663
CoAsia Microelectronics Corp,2004/6/14,2004/6/14,TW0008096009,8096,3674
Global Mixed-Mode Tech Inc,2004/8/3,2004/8/3,TW0008081001,8081,3679
Chen Full International Co Ltd,2004/8/10,2004/8/10,TW0008383001,8383,8711
Termtek Computer Co Ltd,2004/8/20,2004/8/20,TW0003171005,3171,3571
Giantplus Technology Co Ltd,2004/8/22,2004/8/22,TW0008105008,8105,3674
Pro-Hawk Corp,2004/8/24,2004/8/24,TW0008083007,8083,3562
Optimum Care Intl Tech Inc,2004/8/27,2004/8/27,,3252,3674
Crete Systems Inc,2004/9/1,2004/9/1,TW0003213005,3213,3674
Kitai Contractors Inc,2004/9/1,2004/9/1,TW0006402001,6402,1522
United Orthopedic Corp,2004/9/1,2004/9/1,TW0004129002,4129,3841
A-DATA Technology Co Ltd,2004/9/8,2004/9/8,TW0003260006,3260,3674
Ocean Bright Co Ltd,2004/9/16,2004/9/16,TW0003266003,3266,2836
Sentronic International Corp,2004/10/5,2004/10/5,TW0003232005,3232,3674
Star World Technology Corp,2004/10/5,2004/10/5,TW0008266008,8266,3679
Yao Sheng Electronic Co Ltd,2004/10/6,2004/10/6,TW0003207007,3207,3677
Alcor Micro Corp,2004/10/12,2004/10/12,TW0008054008,8054,3674
Dynapack Intl Tech Corp,2004/10/12,2004/10/12,TW0003211009,3211,3691
ABC Taiwan Electronics Corp,2004/11/3,2004/11/3,TW0003236006,3236,3678
Universal Vision Biotechnology,2004/11/3,2004/11/3,TW0003218004,3218,5047
Applied Vacuum Coating Tech,2004/11/5,2004/11/5,TW0008077009,8077,3679
Taiwan Oasis Technology Co Ltd,2004/11/8,2004/11/8,TW0003066007,3066,3674
Acard Technology Corp,2004/11/9,2004/11/9,TW0003126009,3126,3674
Dacome International Co Ltd,2004/11/9,2004/11/9,TW0009960005,9960,5091
Phison Electronics Corp,2004/11/9,2004/11/9,TW0008299009,8299,3674
Health & Life Co Ltd,2004/11/24,2004/11/24,TW0001781003,1781,3845
Topoint Technology Co Ltd,2004/11/24,2004/11/24,TW0008021007,8021,3674
FuPo Electronics Corp,2004/11/25,2004/11/25,TW0008066002,8066,3674
Thinflex Corp,2004/11/25,2004/11/25,TW0003144002,3144,3674
Yen Sun Technology Corp,2004/11/25,2004/11/25,TW0006275001,6275,3634
Integrated Service Tech Inc,2004/11/29,2004/11/29,TW0003289005,3289,3674
Unifosa Corp,2004/11/30,2004/11/30,TW0008277005,8277,3674
Adda Corp,2004/12/1,2004/12/1,TW0003071007,3071,3564
Enermax Technology Corp,2004/12/6,2004/12/6,TW0008093006,8093,3577
ENG Electric Co Ltd,2004/12/7,2004/12/7,TW0008287004,8287,3679
Ardentec Corp,2004/12/8,2004/12/8,TW0003264008,3264,3674
Yeu Hwan Technology Corp Ltd,2004/12/16,2004/12/16,TW0003276002,3276,3674
Thunder Tiger Corp,2004/12/22,2004/12/22,TW0008033002,8033,3674
Princo Corp,2004/12/27,2004/12/27,TW0008053000,8053,3695
PCHome Online Inc,2004/12/30,2004/12/30,TW0008044009,8044,7375
Higher Way Electronic Co Ltd,2004/12/31,2004/12/31,TW0003268009,3268,3674
Solar Applied Materials Tech,2005/1/1,2005/1/1,TW0001785004,1785,3674
Channel Well Technology Co Ltd,2005/1/6,2005/1/6,TW0003078002,3078,3674
Acme Electronics Corp,2005/1/15,2005/1/15,TW0008121005,8121,3674
RDC Semiconductor Co Ltd,2005/1/25,2005/1/25,TW0003228003,3228,3674
Munsin Garment Corp,2005/2/2,2005/2/2,TW0002916004,2916,2254
Powertech Industrial Co Ltd,2005/2/16,2005/2/16,TW0003296000,3296,3674
Jingo Digital Inc,2005/2/22,2005/2/22,TW0009946004,9946,3652
Power Mate Technology Co Ltd,2005/2/22,2005/2/22,TW0008109000,8109,3674
Top High Image Corp,2005/2/22,2005/2/22,TW0003284006,3284,3559
Info-Tek Corp,2005/3/1,2005/3/1,TW0008183005,8183,3674
Trust-Search Corp,2005/3/9,2005/3/9,TW0003115002,3115,3672
Cheer Time Enterprise Co Ltd,2005/3/11,2005/3/11,TW0003229001,3229,3674
Hold Jinn Electronics Co Ltd,2005/3/17,2005/3/17,TW0003191003,3191,3674
Jintex Corp Ltd,2005/3/24,2005/3/24,TW0001787000,1787,2899
Axiomtek Co Ltd,2005/3/31,2005/3/31,TW0003088001,3088,3577
King Slide Works Co Ltd,2005/3/31,2005/3/31,TW0002059003,2059,3674
Chenbro Micom Co Ltd,2005/4/1,2005/4/1,TW0008210006,8210,3577
AURAS Technology Co Ltd,2005/4/16,2005/4/16,TW0003324000,3324,3577
Donpon Precision Inc,2005/4/19,2005/4/19,TW0003290003,3290,2821
Hunt Electronic Co Ltd,2005/5/9,2005/5/9,TW0003297008,3297,7382
Longwell Co Ltd,2005/5/9,2005/5/9,TW0006290000,6290,3678
Taiwan Kong King Co Ltd,2005/5/24,2005/5/24,TW0003093001,3093,5065
Wah Hong Industrial Corp,2005/5/25,2005/5/25,TW0008240003,8240,3629
De Poan Pneumatic Corp,2005/6/3,2005/6/3,TW0001570000,1570,3629
Shenmao Technology Inc,2005/6/3,2005/6/3,TW0003305009,3305,3674
RoyalTek Co Ltd,2005/6/8,2005/6/8,TW0003306007,3306,7372
Aimtron Technology Corp,2005/6/9,2005/6/9,TW0003298006,3298,3679
Posiflex Technology Inc,2005/6/22,2005/6/22,TW0008114000,8114,3577
High-Tek Harness Enterprise Co,2005/6/29,2005/6/29,TW0003202008,3202,3357
Bin Chuan Enterprise Co Ltd,2005/7/4,2005/7/4,TW0001569002,1569,3674
Bothhand Enterprise Inc,2005/7/4,2005/7/4,TW0003299004,3299,3679
Tien Liang Bio Tech Co Ltd,2005/7/4,2005/7/4,TW0004127006,4127,2836
Winstek Semiconductor Corp,2005/7/5,2005/7/5,TW0003265005,3265,8734
Entery Industrial Co Ltd,2005/7/13,2005/7/13,TW0001333003,1333,3674
Casing Macron Technology Co,2005/7/19,2005/7/19,TW0003325007,3325,3577
Ability Optoelectronics Tech,2005/8/9,2005/8/9,TW0003362000,3362,3674
Sagittarius Life Science,2005/8/16,2005/8/16,TW0003205001,3205,2834
United Alloy-Tech Co Ltd,2005/9/5,2005/9/5,TW0003162004,3162,3674
Syn-Tech Chem & Pharm Co Ltd,2005/9/19,2005/9/19,TW0001777001,1777,2836
GMI Technology Inc,2005/10/11,2005/10/11,TW0003312005,3312,3577
Kenmos Technology Co Ltd,2005/11/9,2005/11/9,TW0008107004,8107,3679
Microcosm Corp,2005/11/25,2005/11/25,TW0003354007,3354,3674
Taiwan IC Packaging Corp,2005/12/6,2005/12/6,TW0003372009,3372,3674
Wellypower Optronics Corp,2005/12/16,2005/12/16,TW0003080008,3080,3641
Hola Home Furnishings Co Ltd,2006/1/6,2006/1/6,TW0002921004,2921,5023
Cheng Lie Navigation Co Ltd,2006/2/8,2006/2/8,TW0002628005,2628,4412
Sunflex Tech Co Ltd,2006/2/8,2006/2/8,TW0003390001,3390,3674
Tai-Saw Technology Co Ltd,2006/2/9,2006/2/9,TW0003221008,3221,3674
Topco Technologies Corp,2006/2/9,2006/2/9,TW0003388005,3388,5162
E-Ton Solar Tech Co Ltd,2006/2/20,2006/2/20,TW0003452009,3452,3674
QST International Corp,2006/2/20,2006/2/20,TW0008349002,8349,3965
Foxlink Image Tech Co Ltd,2006/2/27,2006/2/27,TW0006298003,6298,3577
Actron Technology Corp,2006/4/10,2006/4/10,TW0008255001,8255,3674
PixArt Imaging Inc,2006/4/18,2006/4/18,TW0003227005,3227,3674
Wha Yu Industrial Co Ltd,2006/4/26,2006/4/26,TW0003419008,3419,3674
Skardin Industrial Corp,2006/5/2,2006/5/2,TW0003466009,3466,3663
Harmony Electronics Corp,2006/5/11,2006/5/11,TW0008182007,8182,3674
Feei Cherng Enterprise Co Ltd,2006/5/15,2006/5/15,TW0003313003,3313,3675
Sunnic Tech & Merch Inc,2006/5/22,2006/5/22,TW0003360004,3360,3674
Microbio Co Ltd,2006/5/25,2006/5/25,TW0004128004,4128,2834
Tekcore Co Ltd,2006/6/12,2006/6/12,TW0003339008,3339,3674
Kaori Heat Treatment Co Ltd,2006/6/15,2006/6/15,TW0008996000,8996,3398
Tang Eng Iron Works Co Ltd,2006/6/23,2006/6/23,TW0002035003,2035,3312
Yeou Yih Steel Company Limited,2006/6/26,2006/6/26,TW0009962001,9962,3325
Intl Games System Co Ltd,2006/6/28,2006/6/28,TW0003293007,3293,3999
Advanced Analog Technology Inc,2006/7/4,2006/7/4,TW0003438008,3438,3674
Holux Technology Inc,2006/7/5,2006/7/5,TW0003431003,3431,3812
Vivotek Inc,2006/7/11,2006/7/11,TW0003454005,3454,3651
Walton Advanced Engineering,2006/8/9,2006/8/9,TW0008110008,8110,3674
Hi Sharp Electronics Inc,2006/8/21,2006/8/21,TW0003128005,3128,3663
Alpha Microelectronics Corp,2006/9/8,2006/9/8,TW0008024001,8024,3674
Contrel Technology Co Ltd,2006/9/8,2006/9/8,TW0008064007,8064,3674
Jiin Ming Industry Co Ltd,2006/9/8,2006/9/8,TW0003230009,3230,3674
Hsin Yung Chien Co Ltd,2006/9/14,2006/9/14,TW0002114006,2114,3069
Globalsat Technology Corp,2006/10/3,2006/10/3,TW0003499000,3499,3663
Li Cheng Enterprise Co Ltd,2006/10/30,2006/10/30,TW0004426002,4426,2299
Forcecon Technology Co Ltd,2006/12/12,2006/12/12,TW0003483004,3483,3577
Wholetech System Hitech Ltd,2006/12/26,2006/12/26,TW0003402004,3402,3674
Syncmold Enterprise Corp,2007/1/9,2007/1/9,TW0001582005,1582,3544
